Name/Inception Date,Asset Class,Category,1 Year,3 Year,5 Year,10 Year/LOF*,Returns As Of,Bench- mark,Start Position,Move,Stock Symbol
DODGE & COX STOCK (DODGX)01/04/1965Â,Stock Investments,Large Cap,10.52%,5.47%,13.83%,11.59%,1/31/2021,Show,19,6,DODGX
FID CONTRAFUND K (FCNKX)05/17/1967Â,Stock Investments,Large Cap,28.39%,15.20%,19.39%,15.31%,1/31/2021,Show,18,6,FCNKX
 VANGUARD INST INDEX (VINIX)07/31/1990 ,Stock Investments,Large Cap,17.24%,11.68%,16.13%,13.48%,1/31/2021,Show,22,6,VINIX
TRP INST MDCPEQ GTH (PMEGX)07/31/1996Â,Stock Investments,Mid-Cap,23.83%,14.63%,18.74%,14.89%,1/31/2021,Show,21,6,PMEGX
TRP NEW HORIZONS (PRNHX)06/03/1960Â,Stock Investments,Mid-Cap,47.88%,27.92%,28.22%,20.37%,1/31/2021,Show,18,6,PRNHX
 VANG EXT MKT IDX INS (VIEIX)12/21/1987 ,Stock Investments,Mid-Cap,36.78%,15.17%,18.90%,13.40%,1/31/2021,Show,23,6,VIEIX
DFA US TARGET VALUE (DFFVX)02/23/2000Â,Stock Investments,Small Cap,15.70%,2.86%,10.62%,9.05%,1/31/2021,Show,21,6,DFFVX
NB GENESIS R6 (NRGSX)09/27/1988Â,Stock Investments,Small Cap,26.74%,13.92%,17.47%,12.64%,1/31/2021,Show,15,6,NRGSX
AF EUROPAC GROWTH R6 (RERGX)04/16/1984Â,Stock Investments,International,27.20%,8.00%,13.53%,7.92%,1/31/2021,Show,22,6,RERGX
 FID INTL INDEX (FSPSX)11/05/1997 ,Stock Investments,International,9.65%,2.35%,8.75%,5.29%,1/31/2021,Show,17,6,FSPSX
 TRP INTL DISCOVERY (PRIDX)12/30/1988 ,Stock Investments,International,42.91%,10.89%,16.66%,11.63%,1/31/2021,Show,21,6,PRIDX
TRP BALANCED (RPBAX)12/29/1939Â,Blended Fund Investments*,Specialty,13.71%,8.00%,11.19%,8.91%,1/31/2021,Show,14,6,RPBAX
VANG WELLESLEY ADM (VWIAX)07/01/1970Â,Blended Fund Investments*,N/A,5.79%,6.56%,7.77%,7.63%,1/31/2021,Show,20,6,VWIAX
TRP HIGH YIELD INST (TRHYX)05/31/2002Â,Bond Investments,Income,5.14%,5.19%,8.22%,6.11%,1/31/2021,Show,21,6,TRHYX
VANG TOT BD MKT INST (VBTIX)12/11/1986Â,Bond Investments,Income,4.67%,5.52%,4.01%,3.72%,1/31/2021,Show,22,6,VBTIX
FIMM TREAS ONLY CL I (FSIXX)10/03/1990Â 7 day yield as of01/31/2021 Â  0.0,Short Term Investments,N/A,0.24%,1.33%,0.99%,0.50%,1/31/2021,Show,22,6,FSIXX
