TIME,DJIA
"January-02,1900",49.9096
"January-03,1900",48.7961
"January-04,1900",49.1917
"January-05,1900",48.8694
"January-06,1900",48.3639
"January-08,1900",48.6496
"January-09,1900",47.6094
"January-10,1900",46.9867
"January-11,1900",46.3493
"January-12,1900",47.5654
"January-13,1900",47.4702
"January-15,1900",47.0453
"January-16,1900",47.0966
"January-17,1900",47.2944
"January-18,1900",47.0892
"January-19,1900",47.8291
"January-20,1900",47.4921
"January-22,1900",47.8877
"January-23,1900",47.1625
"January-24,1900",47.4116
"January-25,1900",47.6533
"January-26,1900",47.0526
"January-27,1900",47.0819
"January-29,1900",47.2138
"January-30,1900",48.3932
"January-31,1900",48.4445
"February-01,1900",49.3309
"February-02,1900",49.7118
"February-03,1900",49.7265
"February-05,1900",50.0781
"February-06,1900",49.8364
"February-07,1900",49.7704
"February-08,1900",49.4188
"February-09,1900",48.9793
"February-10,1900",48.8327
"February-13,1900",49.3675
"February-14,1900",49.0086
"February-15,1900",49.1404
"February-16,1900",48.6423
"February-17,1900",48.2101
"February-19,1900",48.5324
"February-20,1900",48.4665
"February-21,1900",48.0489
"February-23,1900",47.2651
"February-24,1900",46.972
"February-26,1900",46.5618
"February-27,1900",46.408
"February-28,1900",46.8548
"March-01,1900",46.5838
"March-02,1900",45.3824
"March-03,1900",45.9757
"March-05,1900",45.5069
"March-06,1900",45.3238
"March-07,1900",45.2945
"March-08,1900",44.9721
"March-09,1900",44.767
"March-10,1900",45.1846
"March-12,1900",46.3787
"March-13,1900",46.0636
"March-14,1900",45.441
"March-15,1900",45.2798
"March-16,1900",45.3531
"March-17,1900",45.7853
"March-19,1900",46.0856
"March-20,1900",46.4812
"March-21,1900",46.9427
"March-22,1900",46.9281
"March-23,1900",46.6424
"March-24,1900",47.0746
"March-26,1900",46.9281
"March-27,1900",47.4042
"March-28,1900",47.7046
"March-29,1900",46.9354
"March-30,1900",47.9024
"March-31,1900",48.3639
"April-02,1900",48.0196
"April-03,1900",47.7412
"April-04,1900",47.6973
"April-05,1900",47.961
"April-06,1900",48.4591
"April-07,1900",48.4591
"April-09,1900",47.9537
"April-10,1900",47.287
"April-11,1900",47.4555
"April-12,1900",47.1771
"April-16,1900",45.0893
"April-17,1900",45.2725
"April-18,1900",45.2871
"April-19,1900",45.6974
"April-20,1900",45.5655
"April-21,1900",44.2982
"April-23,1900",44.8256
"April-24,1900",45.1919
"April-25,1900",45.3384
"April-26,1900",46.1882
"April-27,1900",45.6021
"April-28,1900",45.2652
"April-30,1900",44.9282
"May-01,1900",44.9208
"May-02,1900",44.7231
"May-03,1900",44.7011
"May-04,1900",44.8183
"May-05,1900",44.9502
"May-07,1900",44.4081
"May-08,1900",43.4118
"May-09,1900",43.9099
"May-10,1900",44.0271
"May-11,1900",42.9429
"May-12,1900",42.5766
"May-14,1900",42.1591
"May-15,1900",41.4778
"May-16,1900",41.8441
"May-17,1900",41.5804
"May-18,1900",42.3129
"May-19,1900",42.6206
"May-21,1900",42.0492
"May-22,1900",42.562
"May-23,1900",42.7451
"May-24,1900",42.1298
"May-25,1900",41.9466
"May-26,1900",42.1591
"May-28,1900",42.247
"May-29,1900",42.4961
"May-31,1900",43.2946
"June-01,1900",43.4997
"June-02,1900",43.0748
"June-04,1900",42.4668
"June-05,1900",42.1078
"June-06,1900",41.7415
"June-07,1900",42.1664
"June-08,1900",41.4778
"June-09,1900",41.324
"June-11,1900",41.0456
"June-12,1900",41.1335
"June-13,1900",41.8441
"June-14,1900",41.3972
"June-15,1900",41.1481
"June-16,1900",40.5987
"June-18,1900",40.2617
"June-19,1900",40.3496
"June-20,1900",39.8442
"June-21,1900",40.0346
"June-22,1900",39.6391
"June-23,1900",39.3241
"June-25,1900",39.3241
"June-26,1900",39.5585
"June-27,1900",39.6391
"June-28,1900",40.1079
"June-29,1900",40.1665
"June-30,1900",40.2398
"July-02,1900",40.6427
"July-03,1900",40.7819
"July-05,1900",41.3972
"July-06,1900",41.1188
"July-07,1900",41.0456
"July-09,1900",40.8478
"July-10,1900",41.6902
"July-11,1900",41.5877
"July-12,1900",41.5437
"July-13,1900",41.009
"July-14,1900",40.9357
"July-16,1900",41.1848
"July-17,1900",41.573
"July-18,1900",41.4705
"July-19,1900",41.954
"July-20,1900",42.7451
"July-21,1900",42.7891
"July-23,1900",43.2359
"July-24,1900",42.7451
"July-25,1900",42.6206
"July-26,1900",42.4375
"July-27,1900",42.5107
"July-28,1900",42.269
"July-30,1900",41.8514
"July-31,1900",41.6097
"August-01,1900",41.8001
"August-02,1900",41.91
"August-03,1900",41.9686
"August-04,1900",42.269
"August-06,1900",42.1737
"August-07,1900",42.2763
"August-08,1900",42.4008
"August-09,1900",42.2983
"August-10,1900",42.4887
"August-11,1900",42.5547
"August-13,1900",42.855
"August-14,1900",43.0528
"August-15,1900",43.148
"August-16,1900",43.1187
"August-17,1900",43.1041
"August-18,1900",42.9942
"August-20,1900",43.0748
"August-21,1900",42.8916
"August-22,1900",42.9649
"August-23,1900",42.7964
"August-24,1900",42.7085
"August-25,1900",42.6133
"August-27,1900",42.6499
"August-28,1900",42.3349
"August-29,1900",42.8037
"August-30,1900",42.7744
"August-31,1900",42.3495
"September-04,1900",42.8916
"September-05,1900",42.9136
"September-06,1900",42.855
"September-07,1900",42.7232
"September-08,1900",42.4008
"September-10,1900",42.54
"September-11,1900",42.562
"September-12,1900",42.6719
"September-13,1900",42.6352
"September-14,1900",42.1005
"September-15,1900",41.4338
"September-17,1900",41.5144
"September-18,1900",41.4851
"September-19,1900",40.7526
"September-20,1900",39.8295
"September-21,1900",39.8295
"September-22,1900",39.1409
"September-24,1900",38.7966
"September-25,1900",38.9211
"September-26,1900",39.0091
"September-27,1900",39.9467
"September-28,1900",39.661
"September-29,1900",39.7563
"October-01,1900",40.2617
"October-02,1900",39.9394
"October-03,1900",40.1006
"October-04,1900",40.5035
"October-05,1900",40.8038
"October-06,1900",40.6646
"October-08,1900",40.5694
"October-09,1900",40.6646
"October-10,1900",40.2178
"October-11,1900",40.5401
"October-12,1900",41.0895
"October-13,1900",41.4485
"October-15,1900",42.4155
"October-16,1900",42.3569
"October-17,1900",42.4082
"October-18,1900",42.8257
"October-19,1900",43.0235
"October-20,1900",43.6169
"October-22,1900",44.4154
"October-23,1900",44.5326
"October-24,1900",44.5326
"October-25,1900",44.4227
"October-26,1900",44.3201
"October-27,1900",44.0125
"October-29,1900",43.4484
"October-30,1900",43.6096
"October-31,1900",43.2506
"November-01,1900",43.3532
"November-02,1900",43.507
"November-03,1900",43.8073
"November-05,1900",44.5912
"November-07,1900",46.0783
"November-08,1900",46.7083
"November-09,1900",47.7266
"November-10,1900",48.7009
"November-12,1900",49.3236
"November-13,1900",48.1515
"November-14,1900",48.5177
"November-15,1900",48.9426
"November-16,1900",49.9536
"November-17,1900",50.3272
"November-19,1900",50.459
"November-20,1900",50.5982
"November-21,1900",50.525
"November-22,1900",50.1147
"November-23,1900",49.0232
"November-24,1900",48.8987
"November-26,1900",49.2503
"November-27,1900",49.0891
"November-28,1900",48.7815
"November-30,1900",48.7815
"December-01,1900",48.6056
"December-03,1900",48.6643
"December-04,1900",47.9244
"December-05,1900",48.3859
"December-06,1900",47.668
"December-07,1900",47.0087
"December-08,1900",46.8695
"December-10,1900",47.3603
"December-11,1900",48.0123
"December-12,1900",47.9463
"December-13,1900",47.5361
"December-14,1900",48.0123
"December-15,1900",48.3053
"December-17,1900",48.1295
"December-18,1900",48.7302
"December-19,1900",49.221
"December-20,1900",49.3602
"December-21,1900",50.2759
"December-22,1900",51.3015
"December-26,1900",51.9022
"December-27,1900",52.0414
"December-28,1900",51.1257
"December-29,1900",51.426
"December-31,1900",51.7996
"January-02,1901",51.6018
"January-03,1901",49.7924
"January-04,1901",50.7887
"January-05,1901",49.58
"January-07,1901",49.1697
"January-08,1901",49.558
"January-09,1901",49.4701
"January-10,1901",49.7338
"January-11,1901",49.7045
"January-12,1901",49.3455
"January-14,1901",49.2723
"January-15,1901",48.7155
"January-16,1901",48.1368
"January-17,1901",47.8365
"January-18,1901",47.7705
"January-19,1901",47.4482
"January-21,1901",47.5581
"January-22,1901",48.0049
"January-23,1901",48.6203
"January-24,1901",48.0929
"January-25,1901",48.4665
"January-26,1901",48.8474
"January-28,1901",48.5617
"January-29,1901",48.7595
"January-30,1901",48.8767
"January-31,1901",48.9426
"February-01,1901",49.6019
"February-04,1901",50.1514
"February-05,1901",50.7447
"February-06,1901",51.1989
"February-07,1901",50.7887
"February-08,1901",51.133
"February-09,1901",51.3967
"February-11,1901",51.6311
"February-13,1901",50.8766
"February-14,1901",51.7337
"February-15,1901",51.8509
"February-16,1901",51.4114
"February-18,1901",50.4883
"February-19,1901",50.0854
"February-20,1901",49.7851
"February-21,1901",50.2173
"February-25,1901",50.0122
"February-26,1901",49.3455
"February-27,1901",49.895
"February-28,1901",49.0818
"March-01,1901",49.6386
"March-02,1901",49.5726
"March-04,1901",49.5067
"March-05,1901",49.3382
"March-06,1901",49.3675
"March-07,1901",49.6093
"March-08,1901",49.4847
"March-09,1901",49.3016
"March-11,1901",49.4334
"March-12,1901",49.2869
"March-13,1901",49.2137
"March-14,1901",49.4774
"March-15,1901",49.3236
"March-16,1901",49.4261
"March-18,1901",50.1221
"March-19,1901",50.3491
"March-20,1901",50.4151
"March-21,1901",50.4957
"March-22,1901",50.4883
"March-23,1901",50.4151
"March-25,1901",50.2466
"March-26,1901",50.1953
"March-27,1901",50.7447
"March-28,1901",50.8326
"March-29,1901",50.8619
"March-30,1901",51.2209
"April-01,1901",51.9461
"April-02,1901",52.0267
"April-03,1901",52.2685
"April-04,1901",52.752
"April-08,1901",52.3564
"April-09,1901",53.1182
"April-10,1901",53.5578
"April-11,1901",53.1988
"April-12,1901",53.3893
"April-13,1901",53.9534
"April-15,1901",55.1987
"April-16,1901",55.25
"April-17,1901",54.8544
"April-18,1901",55.0156
"April-19,1901",55.5943
"April-20,1901",55.4258
"April-22,1901",54.62
"April-23,1901",54.0633
"April-24,1901",53.631
"April-25,1901",53.9387
"April-26,1901",54.4662
"April-29,1901",55.1108
"April-30,1901",55.5284
"May-01,1901",55.6236
"May-02,1901",55.0815
"May-03,1901",54.4808
"May-04,1901",54.8691
"May-06,1901",55.3452
"May-07,1901",54.957
"May-08,1901",52.5395
"May-09,1901",49.3602
"May-10,1901",52.5029
"May-13,1901",52.686
"May-14,1901",50.9792
"May-15,1901",51.3235
"May-16,1901",51.8949
"May-17,1901",53.5431
"May-18,1901",54.1072
"May-20,1901",53.3014
"May-21,1901",53.7995
"May-22,1901",53.8508
"May-23,1901",53.3527
"May-24,1901",54.012
"May-25,1901",53.9314
"May-27,1901",53.968
"May-28,1901",54.2171
"May-29,1901",54.5834
"May-31,1901",55.5064
"June-01,1901",56.1071
"June-03,1901",56.9422
"June-04,1901",56.4587
"June-05,1901",55.9459
"June-06,1901",56.0045
"June-07,1901",55.902
"June-08,1901",55.7262
"June-10,1901",55.8727
"June-11,1901",55.7555
"June-12,1901",56.0778
"June-13,1901",56.6346
"June-14,1901",56.4587
"June-15,1901",56.7225
"June-17,1901",57.3305
"June-18,1901",57.0082
"June-19,1901",56.8177
"June-20,1901",56.5686
"June-21,1901",57.0961
"June-22,1901",56.9276
"June-24,1901",56.9276
"June-25,1901",56.3562
"June-26,1901",56.3122
"June-27,1901",56.2756
"June-28,1901",56.0192
"June-29,1901",57.0961
"July-01,1901",56.4661
"July-02,1901",56.4587
"July-03,1901",56.1144
"July-08,1901",54.2391
"July-09,1901",54.6933
"July-10,1901",53.316
"July-11,1901",52.9058
"July-12,1901",51.8436
"July-13,1901",52.0487
"July-15,1901",50.8839
"July-16,1901",51.0378
"July-17,1901",52.415
"July-18,1901",52.6787
"July-19,1901",52.7227
"July-20,1901",52.2465
"July-22,1901",51.5945
"July-23,1901",52.2978
"July-24,1901",51.9461
"July-25,1901",52.5175
"July-26,1901",52.8399
"July-27,1901",53.2574
"July-29,1901",53.4332
"July-30,1901",53.2208
"July-31,1901",52.4736
"August-01,1901",52.5322
"August-02,1901",52.2172
"August-03,1901",52.1732
"August-05,1901",50.7008
"August-06,1901",50.5836
"August-07,1901",50.9352
"August-08,1901",51.5872
"August-09,1901",51.0304
"August-10,1901",50.8107
"August-12,1901",51.2136
"August-13,1901",51.5213
"August-14,1901",51.7996
"August-15,1901",52.5322
"August-16,1901",52.437
"August-17,1901",52.0194
"August-19,1901",52.0194
"August-20,1901",52.0707
"August-21,1901",52.3051
"August-22,1901",52.8179
"August-23,1901",53.4992
"August-24,1901",53.99
"August-26,1901",54.0852
"August-27,1901",53.338
"August-28,1901",53.2648
"August-29,1901",53.3453
"August-30,1901",53.8215
"September-03,1901",53.2208
"September-04,1901",53.675
"September-05,1901",53.5212
"September-06,1901",52.9131
"September-07,1901",50.5689
"September-09,1901",51.785
"September-10,1901",52.3417
"September-11,1901",52.0194
"September-12,1901",51.4626
"September-13,1901",49.265
"September-16,1901",51.2868
"September-17,1901",51.1843
"September-18,1901",51.4626
"September-20,1901",51.6238
"September-21,1901",51.0817
"September-23,1901",49.4994
"September-24,1901",49.3968
"September-25,1901",48.5104
"September-26,1901",49.0012
"September-27,1901",49.5873
"September-28,1901",49.3748
"September-30,1901",48.8327
"October-01,1901",48.4005
"October-02,1901",48.3053
"October-03,1901",47.2358
"October-04,1901",47.3017
"October-05,1901",46.5032
"October-07,1901",46.679
"October-08,1901",46.7669
"October-09,1901",46.9794
"October-10,1901",47.8804
"October-11,1901",48.2833
"October-12,1901",47.9976
"October-14,1901",48.1954
"October-15,1901",47.8365
"October-16,1901",47.5508
"October-17,1901",47.7852
"October-18,1901",47.9683
"October-19,1901",48.2101
"October-21,1901",47.9244
"October-22,1901",48.1002
"October-23,1901",48.1002
"October-24,1901",47.939
"October-25,1901",47.8291
"October-26,1901",47.6826
"October-28,1901",46.8914
"October-29,1901",47.2211
"October-30,1901",47.5141
"October-31,1901",47.2138
"November-01,1901",47.3749
"November-02,1901",47.4921
"November-04,1901",47.2358
"November-06,1901",47.2944
"November-07,1901",47.4555
